Id,CopyId,UTC,UTCMilliseconds,PCLocalTime,PCTime,EventEnd,eventType,nClicks,minNumber,bestNumber,maxNumber,colour,comment,channels,TMModelName1,TMLatitude1,TMLongitude1,BeamLatitude1,BeamLongitude1,BeamTime1,TMSide1,TMChi21,TMAIC1,TMProbability1,TMDegsFreedom1,TMPerpendicularDistance1,TMPerpendicularDistanceError1,TMDepth1,TMDepthError1,TMHydrophones1,TMError1,TMComment1,TMLatitude2,TMLongitude2,BeamLatitude2,BeamLongitude2,BeamTime2,TMSide2,TMChi22,TMAIC2,TMProbability2,TMDegsFreedom2,TMPerpendicularDistance2,TMPerpendicularDistanceError2,TMDepth2,TMDepthError2,TMHydrophones2,TMError2,TMComment2,UID,ChannelBitmap,SequenceBitmap
332,,2018-07-24 06:33:18.435,435,2018-07-24 07:33:18.435,2019-09-25 10:12:53.491,2018-07-24 07:18:34.743,SWC         ,202,1,1,1,8,,3,Least squares                 ,40.96834755522622,10.654776042885395,40.974866666666664,10.622866666666667,1532414785740,0,1.4571190856965746,295.4238171393149,,,2773.454115207412,27.649539718777607,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.765E1,""PARR"":1.728E1,""ANGLE"":1.95E0}                                                             ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,332,,
333,,2018-07-24 06:43:43.145,145,2018-07-24 07:43:43.145,2019-09-25 10:12:53.491,2018-07-24 07:10:39.788,SWC         ,320,1,1,1,9,,3,Least squares                 ,40.99151737577699,10.651419063397471,40.99466666666667,10.629283333333333,1532415687080,0,3.5672065014449386,1138.3716674594905,,,1889.264051782949,19.72815741537747,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.973E1,""PARR"":7.952E0,""ANGLE"":1.898E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,333,,
334,,2018-07-24 06:54:54.645,645,2018-07-24 07:54:54.645,2019-09-25 10:12:53.491,2018-07-24 07:27:30.431,SWC         ,342,1,1,1,10,,3,Least squares                 ,40.99949952593135,10.67142687364773,41.0089,10.634983333333333,1532416341870,0,1.7933442374415158,613.7370407301154,,,3229.672590409789,30.044064036779172,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.004E1,""PARR"":1.163E1,""ANGLE"":2.072E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,334,,
335,,2018-07-24 07:01:56.100,100,2018-07-24 08:01:56.100,2019-09-25 10:12:53.491,2018-07-24 07:41:19.630,SWC         ,308,1,1,1,11,,3,Least squares                 ,41.011624847583796,10.659303320431663,41.01651666666667,10.6384,1532416687740,0,16.747517283945918,5128.74028888745,,,1835.0074013357792,18.832996081973775,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.883E1,""PARR"":1.235E1,""ANGLE"":2.037E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,335,,
336,,2018-07-24 07:10:02.840,840,2018-07-24 08:10:02.840,2019-09-25 10:12:53.491,2018-07-24 08:03:37.981,SWC         ,555,1,1,1,12,,3,Least squares                 ,41.022859766359005,10.667203317372072,41.02871666666667,10.64385,1532417225450,0,2.6257927509743864,1456.0633912888356,,,2063.0643358325437,12.871541585413535,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.287E1,""PARR"":6.646E0,""ANGLE"":2.002E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,336,,
337,,2018-07-24 07:21:01.923,923,2018-07-24 08:21:01.923,2019-09-25 10:12:53.491,2018-07-24 07:50:26.014,SWC         ,490,1,1,1,1,,3,Least squares                 ,41.050940378596714,10.614967918805366,41.0419,10.650133333333333,1532417826340,0,1.4916659046352796,731.9329614620165,,,3113.5232393875563,29.641670694087846,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.964E1,""PARR"":8.374E0,""ANGLE"":1.933E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,337,,
338,,2018-07-24 07:21:40.072,72,2018-07-24 08:21:40.072,2019-09-25 10:12:53.491,2018-07-24 07:50:01.765,SWC         ,534,1,1,1,2,,3,Least squares                 ,41.03282015487319,10.66886303518219,41.03816666666667,10.6484,1532417656640,0,3.3317306108515843,1776.4806849730428,,,1815.153204151375,14.32616975623586,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.433E1,""PARR"":5.728E0,""ANGLE"":1.967E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,338,,
339,,2018-07-24 07:28:18.873,873,2018-07-24 08:28:18.873,2019-09-25 10:12:53.491,2018-07-24 07:39:49.648,SWC         ,381,1,1,1,3,,3,Least squares                 ,41.03665788656315,10.641897831876209,41.03511666666667,10.646833333333333,1532417512940,0,4.269896773917193,1622.2908773146162,,,447.73096627896257,3.442367779327055,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.442E0,""PARR"":2.701E0,""ANGLE"":1.985E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,339,,
340,,2018-07-24 07:29:16.354,354,2018-07-24 08:29:16.354,2019-09-25 10:12:53.491,2018-07-24 07:42:41.093,SWC         ,354,1,1,1,4,,3,Least squares                 ,41.04118624604824,10.642537779217188,41.03958333333333,10.649033333333334,1532417719780,0,2.518386051004619,890.4718899536259,,,572.8017690893769,4.587879946208333,0,,0,"{""NAME"":""SimpleError"",""PERP"":4.588E0,""PARR"":2.464E0,""ANGLE"":1.967E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,340,,
341,,2018-07-24 07:29:41.348,348,2018-07-24 08:29:41.348,2019-09-25 10:12:53.491,2018-07-24 07:53:58.737,SWC         ,550,1,1,1,5,,3,Least squares                 ,41.04212629168487,10.674862626503154,41.047783333333335,10.653,1532418095580,0,1.175269762576835,648.0478298921055,,,1937.0562478062577,13.195330646931698,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.32E1,""PARR"":5.801E0,""ANGLE"":2.002E0}                                                             ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,341,,
